sleep_hours,study_hours,screen_time,exercise,social_time,productivity_score,burnout_risk
8.06,1.95,6.83,1.45,2.2,59.58,0
7.11,1.0,2.48,0.4,4.77,38.36,1
6.13,3.22,9.08,1.69,4.6,14.6,1
4.69,5.56,4.11,2.41,4.4,50.58,1
9.83,5.53,3.44,1.47,0.19,81.15,0
4.61,3.09,6.09,0.13,0.4,4.5,2
4.43,4.77,4.05,0.68,0.94,34.95,1
9.71,1.4,9.64,1.78,3.21,32.67,1
8.22,8.2,5.35,1.6,1.62,100.0,1
7.99,0.34,3.48,0.28,0.95,36.78,0
7.77,4.21,1.81,1.3,1.76,68.35,0
7.47,4.92,5.38,2.9,3.78,61.36,0
6.88,0.26,9.48,0.96,1.28,14.06,1
4.37,0.26,6.4,0.21,4.67,0.0,2
7.28,6.17,3.63,0.19,3.69,80.78,0
4.51,3.11,1.11,1.3,3.54,25.84,1
7.63,8.47,4.66,2.55,2.53,95.62,0
9.66,2.75,1.24,0.73,1.83,59.94,0
7.15,8.83,3.63,1.56,1.7,100.0,0
4.95,1.04,5.53,2.02,3.98,10.61,1
8.64,3.93,1.3,0.35,0.19,77.88,1
6.97,3.56,6.05,1.44,3.39,45.16,0
5.91,3.46,6.27,1.79,1.57,36.92,1
8.16,6.47,2.22,1.32,4.46,86.68,0
9.13,1.63,5.57,1.27,0.05,47.84,1
6.73,9.54,3.58,2.6,4.61,100.0,1
5.22,6.85,5.94,2.83,2.2,68.53,1
4.83,6.99,9.77,0.09,3.7,30.02,2
4.45,1.1,7.23,1.94,0.34,7.49,2
7.14,9.07,8.9,2.44,2.58,90.27,1
7.04,1.01,6.93,0.4,2.56,19.1,1
5.8,2.32,6.58,2.36,0.29,46.63,1
9.16,3.42,6.93,1.21,0.77,54.96,0
4.52,8.78,9.32,2.46,2.81,40.34,2
9.91,2.48,1.68,1.69,1.64,70.62,0
4.04,5.96,3.38,0.56,0.2,36.41,1
9.27,3.37,7.11,2.27,1.64,44.44,1
8.15,5.59,1.01,0.11,4.95,78.23,1
9.63,9.02,1.18,2.38,2.26,100.0,0
4.04,2.88,7.76,2.38,3.1,4.71,2
5.86,9.67,4.95,1.34,2.76,83.57,1
7.32,4.32,8.44,2.73,4.66,58.22,1
6.65,7.05,8.54,1.69,3.5,78.34,1
5.25,4.98,6.29,0.01,4.28,18.28,1
4.77,8.16,7.45,2.27,1.96,53.71,2
6.48,5.71,1.01,1.93,3.59,71.62,0
6.98,8.1,7.13,0.83,4.8,80.12,2
9.93,9.71,9.27,2.27,3.05,100.0,1
7.26,7.65,5.69,2.6,0.55,97.64,0
7.04,4.32,1.98,0.46,4.19,71.09,0
4.29,0.16,5.26,0.49,3.53,0.0,2
5.37,5.92,2.39,0.91,4.44,66.65,0
9.32,2.25,3.97,1.41,2.4,66.84,0
4.69,8.52,8.77,1.66,1.72,38.89,2
5.75,7.99,5.48,2.78,3.11,79.64,1
8.27,5.04,9.14,0.55,4.87,55.84,1
9.16,4.83,8.53,0.92,3.81,46.56,1
5.84,4.46,3.9,1.16,4.1,47.74,0
8.47,0.74,7.89,2.38,2.01,44.18,1
9.49,8.01,4.51,1.45,3.9,97.51,0
8.82,3.28,8.25,0.26,0.22,46.0,2
9.22,8.83,9.56,1.31,1.43,83.07,1
7.01,2.2,9.42,0.01,0.72,10.5,1
5.19,2.26,6.9,0.98,3.08,15.37,1
7.62,6.95,4.29,0.48,1.6,74.8,0
7.73,2.78,5.06,2.51,3.34,59.44,0
9.31,6.72,6.78,0.57,0.53,82.91,0
7.59,4.16,6.3,0.19,4.11,34.98,1
8.83,5.34,3.49,0.09,4.08,59.53,0
4.31,7.56,4.15,1.17,1.24,69.7,1
5.78,2.1,3.78,0.61,1.59,36.58,0
4.95,4.17,8.92,0.17,1.06,11.74,2
9.34,6.79,3.16,1.26,1.06,94.39,0
6.28,5.76,4.24,1.83,1.48,62.94,0
8.74,8.78,3.9,1.71,1.39,100.0,0
8.43,1.71,4.83,1.46,0.92,58.19,0
6.09,9.52,6.54,1.14,0.19,75.42,1
4.55,5.43,7.77,1.27,1.5,23.68,2
4.15,4.3,8.95,0.73,2.87,14.34,2
4.36,1.53,3.98,2.01,2.2,7.63,1
9.21,7.58,9.93,2.26,4.26,80.62,1
8.38,8.02,9.41,1.43,3.19,77.37,1
9.11,4.31,8.38,2.4,4.81,40.41,1
8.26,7.57,9.43,2.72,2.87,92.69,1
5.0,9.75,3.3,2.17,3.98,90.9,1
5.27,1.89,8.71,1.53,0.45,8.56,2
5.5,8.76,3.79,0.6,0.42,74.05,1
6.7,7.51,5.18,1.03,1.31,87.89,0
9.57,1.65,9.89,0.98,0.44,19.14,1
4.35,7.9,5.61,1.01,3.31,50.91,1
9.64,9.61,7.13,2.45,3.96,100.0,1
8.23,0.78,7.82,2.89,0.42,49.55,1
9.6,2.26,5.72,2.78,4.8,49.94,1
6.09,6.98,2.99,0.97,0.12,78.71,0
7.37,6.53,6.84,2.34,2.08,78.58,0
4.09,2.07,3.81,0.53,0.1,15.95,1
8.0,6.3,9.42,2.39,2.84,68.65,1
7.38,0.62,4.88,1.17,2.14,27.93,0
8.11,8.41,7.92,1.88,2.69,86.68,1
8.34,5.45,3.44,0.98,4.68,64.13,0
6.86,6.21,4.72,1.41,1.45,73.53,0
8.11,0.4,8.16,0.85,3.41,15.82,1
7.92,6.08,9.63,1.53,3.66,62.31,1
5.42,2.83,4.82,0.83,1.83,31.36,0
7.62,2.2,8.24,1.31,3.53,28.49,1
6.82,0.28,7.08,1.03,4.75,6.37,1
7.38,2.57,6.58,1.4,1.85,37.26,0
4.67,1.2,9.99,1.24,0.01,0.84,2
4.12,4.19,7.46,2.74,3.56,11.25,2
9.85,0.39,9.88,2.55,4.64,18.5,1
4.85,6.63,5.64,1.57,4.62,24.56,2
5.87,4.0,2.2,0.58,0.72,52.43,0
8.23,5.3,4.37,2.01,4.06,77.56,0
7.28,8.2,5.6,1.42,4.33,87.04,1
6.38,3.05,5.67,1.63,3.3,38.45,0
5.31,8.67,4.11,2.77,1.04,93.98,1
7.22,8.29,2.25,2.73,2.66,100.0,0
7.06,0.36,5.47,0.79,1.71,24.95,0
6.99,0.93,1.66,0.56,0.95,35.72,0
5.07,8.82,2.89,0.27,4.38,64.35,1
6.55,9.59,9.5,2.14,0.34,79.66,2
9.93,9.47,1.95,1.19,1.58,100.0,0
8.17,2.74,4.1,0.27,2.49,48.16,0
6.59,1.43,9.58,0.43,2.61,21.33,1
4.46,2.02,1.49,0.42,2.47,15.18,1
4.52,4.41,6.23,0.7,1.86,14.08,1
5.32,4.67,9.91,2.99,4.9,34.67,2
4.48,3.24,3.14,0.04,0.48,40.17,2
6.04,1.8,7.44,1.07,4.26,29.71,1
7.23,1.84,5.46,0.46,0.81,33.62,1
5.58,1.72,9.37,0.13,2.83,4.01,2
5.5,4.53,1.79,2.16,1.11,62.06,0
5.89,9.02,8.17,2.84,3.26,70.95,2
6.88,9.05,5.6,1.07,3.2,90.28,1
4.74,3.93,3.82,2.54,1.89,48.47,1
6.65,7.54,2.22,2.77,2.4,100.0,0
5.45,2.65,4.3,2.15,4.75,41.55,1
7.28,4.49,8.45,2.55,1.47,55.67,1
6.37,8.0,9.7,2.11,0.81,60.86,1
4.71,7.89,3.53,2.09,4.55,66.05,1
6.36,6.47,4.78,0.52,0.15,65.51,0
7.9,5.74,2.41,1.35,1.85,91.27,0
8.38,3.1,5.86,2.77,2.7,57.6,0
4.44,1.78,1.91,2.29,4.18,13.45,1
5.32,3.23,6.32,1.87,3.43,29.33,1
5.77,6.59,6.04,0.92,4.54,55.63,1
8.27,7.28,9.24,1.56,1.61,83.53,1
8.62,5.0,7.91,0.8,2.95,39.64,1
5.91,4.84,9.56,2.39,4.44,36.86,1
9.98,1.53,5.67,1.44,3.99,41.2,0
8.39,6.27,4.85,1.53,2.55,83.73,0
7.02,8.56,7.38,2.39,1.95,88.49,1
4.2,3.83,5.27,0.77,0.16,19.06,2
6.61,4.16,3.25,1.61,2.19,71.6,0
7.49,0.06,9.17,0.21,2.25,1.63,1
7.14,2.8,8.74,1.19,3.19,16.41,1
4.12,4.04,5.83,1.38,4.81,10.48,2
9.97,2.95,8.1,1.67,3.06,50.98,1
7.92,8.99,7.53,0.38,3.5,72.68,2
9.51,8.07,1.94,0.4,0.35,97.78,1
4.48,7.24,5.97,2.51,1.4,55.14,1
4.7,8.85,2.58,0.31,1.03,67.22,2
4.63,6.14,7.72,2.25,0.95,44.99,2
6.69,2.02,7.29,1.07,2.25,37.24,1
7.41,1.86,7.11,0.21,4.88,25.44,2
5.09,0.14,4.01,0.46,1.09,4.26,1
7.62,1.76,6.01,0.77,4.88,26.75,1
8.39,7.73,1.6,0.52,1.92,100.0,0
7.93,7.83,8.45,1.43,2.54,93.93,1
5.58,8.54,1.19,0.59,4.0,71.16,1
4.9,1.87,5.78,2.54,0.35,22.04,2
6.79,9.56,3.51,2.88,4.44,100.0,0
8.9,6.86,5.61,1.27,4.08,80.66,0
8.54,9.98,5.31,2.42,4.31,100.0,1
4.25,4.05,8.71,0.87,3.5,5.56,2
6.13,6.16,2.17,2.69,0.78,83.23,0
5.3,9.94,6.44,0.25,0.33,64.11,2
7.54,8.1,4.63,1.33,2.95,96.3,0
8.13,4.72,7.42,2.99,1.75,69.33,1
4.75,5.54,4.1,2.82,3.14,52.41,1
8.79,2.59,8.38,0.01,3.1,33.44,1
8.73,8.54,4.57,2.47,2.75,100.0,0
4.35,2.02,5.96,0.18,3.71,0.0,2
9.52,1.02,9.46,0.2,2.37,23.0,1
4.42,0.18,1.22,1.53,4.06,7.97,1
4.75,5.69,3.11,2.19,4.75,49.99,1
9.26,5.2,8.49,0.55,0.34,54.65,1
4.31,8.92,7.22,2.86,1.57,43.9,2
8.45,2.43,5.88,1.98,4.89,44.98,1
6.85,5.89,2.32,1.3,1.42,93.12,0
7.07,1.66,6.31,0.51,3.62,29.93,0
9.38,0.26,5.7,0.96,1.13,39.56,0
9.05,9.15,3.73,0.46,3.6,94.14,1
5.21,7.6,5.67,1.96,1.8,66.28,1
5.08,7.57,2.41,2.33,3.99,94.05,0
4.12,2.73,5.22,1.79,4.6,11.17,2
9.25,1.63,4.34,0.16,3.71,37.76,0
5.54,7.75,5.81,0.04,0.01,66.34,2
5.83,1.8,6.52,0.69,2.96,16.37,1
5.12,1.38,3.13,0.09,1.54,24.88,1
8.99,3.72,6.18,1.7,4.14,59.05,0
5.78,3.02,1.37,0.94,4.39,42.7,0
4.66,4.58,4.43,1.47,2.77,35.98,1
9.05,9.74,6.88,1.98,2.64,94.21,1
4.89,5.84,1.4,2.47,2.1,61.67,1
5.96,9.69,2.57,0.45,0.83,83.96,1
9.95,2.35,9.15,0.84,3.24,35.68,1
6.97,6.55,5.83,0.71,4.14,52.5,0
6.76,6.36,8.11,0.72,4.32,58.08,1
8.65,1.12,3.6,1.6,2.62,46.49,0
9.98,1.07,3.44,1.07,2.39,39.88,0
9.14,7.71,1.17,1.37,3.09,95.8,0
4.78,3.97,4.7,0.56,3.78,29.6,1
7.53,5.16,8.9,0.37,0.57,51.45,1
6.59,2.99,7.87,0.74,0.42,39.09,1
8.64,8.51,7.6,1.67,3.62,78.78,1
5.41,5.51,7.94,0.95,3.27,28.06,1
7.02,0.9,7.0,2.6,0.71,49.84,0
4.29,0.3,9.91,1.48,1.78,0.0,2
9.88,2.52,7.53,0.85,0.35,46.83,1
4.01,6.76,3.25,2.24,3.85,45.42,1
4.15,7.04,9.91,0.73,1.37,22.98,2
4.96,6.61,7.8,0.11,2.77,36.51,2
5.82,8.76,2.46,1.09,4.24,79.51,1
8.93,0.79,5.4,0.23,3.39,25.74,1
9.1,9.81,7.05,2.31,2.53,100.0,1
7.86,8.84,3.12,1.49,3.65,100.0,0
5.27,9.78,4.91,0.55,1.66,77.16,1
7.74,9.23,9.88,1.96,3.5,75.33,1
9.14,2.18,1.96,2.92,4.32,69.43,0
8.05,4.67,3.91,0.86,0.68,82.69,0
6.68,5.12,2.94,2.82,3.19,79.11,0
4.66,6.23,8.65,0.99,0.98,29.57,2
5.64,4.47,3.93,0.81,3.24,41.7,0
6.04,6.9,2.58,0.66,1.0,76.98,0
6.84,0.39,3.46,2.98,4.59,47.63,0
5.86,4.64,8.6,2.41,0.63,26.32,1
9.22,8.82,1.97,1.72,0.78,100.0,0
9.5,4.55,1.75,1.74,2.04,88.77,0
6.04,8.75,3.46,0.47,1.53,88.35,1
5.69,6.6,2.28,0.33,0.66,77.3,1
9.25,9.44,1.42,2.28,3.69,100.0,0
6.72,8.57,7.56,1.41,1.22,82.59,1
9.13,4.0,7.02,1.2,2.39,49.92,1
8.65,9.78,5.0,1.03,1.87,100.0,0
5.78,0.86,4.85,0.5,1.73,18.51,0
5.48,6.12,9.11,1.7,0.97,61.39,1
7.54,5.07,2.34,1.34,2.72,80.83,0
7.67,0.7,4.03,2.41,1.3,61.69,0
6.46,3.16,9.25,1.03,1.18,17.43,1
8.48,6.82,1.45,0.39,3.19,100.0,0
5.35,7.79,3.57,0.21,0.18,68.5,1
7.7,8.69,2.0,0.59,2.65,97.88,0
6.9,9.24,5.9,1.25,4.95,86.07,1
9.59,5.02,5.53,2.77,2.54,72.13,0
5.63,6.59,6.13,0.64,3.55,50.0,1
6.38,0.04,5.02,0.02,0.37,4.94,1
4.49,2.76,6.9,0.93,4.99,6.69,2
7.51,9.67,8.81,0.96,3.75,85.19,1
8.11,4.91,1.15,0.82,4.78,81.27,0
5.09,1.88,5.31,2.53,3.79,22.42,1
5.25,0.46,5.16,2.44,3.65,15.3,1
7.57,4.36,6.21,1.55,3.4,57.55,0
9.64,4.28,1.14,0.71,2.5,82.69,0
7.31,7.15,3.47,1.99,3.52,95.73,0
6.41,1.79,4.73,2.36,4.54,40.31,0
5.8,6.82,7.66,1.0,4.13,52.65,1
4.06,1.23,2.4,2.64,2.12,21.84,1
6.57,3.95,3.71,0.41,3.28,52.44,0
8.65,2.02,7.58,2.42,0.63,36.85,1
9.7,4.63,6.67,0.07,1.39,55.74,1
9.32,2.71,7.98,1.99,0.58,39.81,1
5.43,4.43,6.72,1.3,1.22,53.52,1
7.51,5.19,5.99,0.67,3.4,61.56,0
6.18,1.5,6.37,1.81,1.7,17.92,0
9.07,1.09,7.26,1.18,5.0,35.03,1
5.68,4.42,3.42,2.08,2.4,48.62,0
7.04,8.89,8.13,1.5,1.44,90.05,1
9.27,7.1,6.15,2.64,0.61,97.23,0
5.3,1.21,5.19,1.16,4.71,6.78,1
8.89,7.49,7.01,2.76,2.04,88.97,1
5.65,8.8,5.27,1.02,1.08,85.4,1
8.3,2.87,7.82,1.89,3.94,44.5,1
7.79,1.54,4.27,2.17,3.16,52.92,0
9.15,0.53,6.36,2.95,2.66,42.29,0
7.57,7.83,6.9,2.07,1.14,81.85,0
5.43,9.81,3.05,0.71,4.29,64.96,1
6.17,7.15,2.43,0.48,2.43,65.53,0
5.41,0.09,4.33,0.95,0.16,10.73,1
7.76,0.71,3.85,2.62,2.91,45.3,0
6.79,2.08,8.31,2.74,4.55,21.56,1
5.86,1.61,3.76,1.0,3.17,20.48,0
9.52,1.03,1.06,2.56,3.52,50.47,0
7.57,2.24,2.52,1.41,1.77,62.3,0
5.31,6.63,7.9,0.5,0.22,53.62,2
8.64,6.51,7.32,1.21,1.17,74.83,1
5.23,7.26,2.77,0.87,2.53,77.62,0
7.61,4.37,9.28,2.52,4.4,50.43,1
7.81,6.09,4.91,0.97,2.96,72.42,0
4.04,8.52,1.42,1.57,3.07,72.36,1
9.37,1.9,8.96,2.29,1.2,35.2,1
5.9,3.98,3.21,3.0,1.15,72.53,0
4.95,9.8,3.03,1.27,2.79,83.2,1
8.9,2.75,5.94,1.65,3.01,51.47,0
5.01,1.61,3.72,0.43,4.61,15.34,1
7.74,3.57,3.49,1.51,1.47,75.39,0
6.72,5.06,9.86,0.67,2.44,42.31,1
6.1,7.17,2.57,1.74,2.08,85.68,0
9.6,4.14,8.06,1.25,4.69,44.65,1
6.47,7.59,4.09,1.09,4.97,70.19,0
8.14,6.43,8.45,2.59,2.82,80.34,1
4.14,6.14,8.43,1.35,0.82,33.31,2
7.06,8.37,2.55,1.84,3.77,99.59,0
4.7,9.26,6.41,2.3,0.27,63.57,2
7.74,3.07,4.88,1.66,2.76,57.78,0
6.64,2.14,9.25,2.93,1.5,41.34,1
5.32,4.78,8.87,1.5,0.28,34.84,2
5.36,8.43,6.59,1.69,1.59,72.47,1
5.99,8.35,9.06,1.45,4.47,49.04,2
7.95,0.88,5.27,0.65,0.31,36.64,1
5.95,5.9,5.1,0.91,4.96,44.17,1
4.75,4.15,6.84,2.2,1.83,36.77,1
4.74,3.32,7.45,1.88,4.19,14.3,2
5.05,0.48,2.73,0.01,2.52,11.32,1
7.95,3.85,1.03,2.02,0.27,79.17,0
4.14,5.3,9.05,1.72,3.04,14.38,2
4.73,6.75,8.92,2.92,2.22,51.75,2
8.52,5.43,3.32,0.52,0.85,67.27,0
5.02,0.2,1.47,2.79,0.36,29.98,1
6.71,2.45,9.66,2.73,2.02,25.46,1
6.25,0.38,3.64,0.37,0.51,14.3,0
4.59,1.03,5.32,1.33,0.69,4.74,1
5.16,2.36,8.2,2.75,2.03,22.95,1
8.27,6.27,2.66,0.32,2.19,92.08,0
4.83,2.93,3.75,0.78,2.3,18.41,1
7.06,2.01,1.93,2.47,2.4,63.54,0
5.55,8.04,7.77,2.63,3.01,56.97,2
6.56,1.94,6.86,1.76,0.77,36.6,0
6.21,0.5,3.95,2.61,4.58,36.81,0
9.74,8.75,8.43,2.58,1.91,96.98,1
7.46,7.2,2.6,2.19,4.79,91.71,0
9.92,3.78,2.8,0.34,3.92,56.5,0
5.84,6.08,3.99,1.35,4.31,66.46,0
8.57,5.83,9.92,0.72,1.31,66.39,1
7.32,6.13,7.53,1.01,0.06,69.05,1
9.99,2.95,2.66,0.85,2.13,63.71,0
7.83,3.45,4.56,0.12,4.59,52.02,1
5.97,0.86,6.71,2.59,0.21,23.53,1
4.88,6.02,9.29,1.31,1.72,26.21,2
8.46,2.47,2.45,1.07,3.88,64.09,0
8.0,8.29,3.49,1.02,0.21,100.0,1
7.49,2.98,1.62,2.17,3.74,71.1,0
5.22,9.13,7.78,1.97,3.25,61.2,2
9.57,5.96,4.75,1.09,4.1,73.19,0
4.46,1.42,9.1,2.65,4.76,0.0,2
8.7,8.28,3.84,0.44,4.99,85.45,1
7.58,6.5,7.14,0.77,3.61,78.74,1
8.97,2.19,7.27,2.35,0.94,35.12,1
8.67,0.86,2.72,1.37,4.65,31.39,0
6.33,9.78,5.17,1.3,2.06,99.0,1
5.95,6.88,1.37,2.05,1.01,90.45,0
4.88,5.53,7.56,1.06,0.82,24.15,2
8.91,2.68,7.97,0.99,0.94,44.63,1
6.81,0.31,9.64,0.44,1.77,5.84,1
6.94,7.85,1.05,2.8,3.23,100.0,0
8.9,9.28,6.41,1.07,2.21,96.06,1
6.56,7.32,1.83,2.49,1.02,100.0,0
4.93,1.29,8.31,2.46,3.69,0.0,2
5.62,8.27,4.17,1.61,2.23,72.94,1
7.45,7.48,2.57,2.79,2.65,100.0,0
7.88,1.92,1.57,2.06,0.55,73.24,0
8.44,0.55,8.29,2.39,0.71,35.23,1
4.58,6.33,1.57,2.83,1.04,73.69,1
4.77,2.1,5.06,1.72,4.99,7.31,2
4.0,3.5,4.3,2.65,4.56,24.7,1
4.86,4.12,7.71,0.94,3.32,27.37,2
5.94,8.6,3.25,2.89,1.53,91.96,1
5.53,1.71,5.56,0.34,3.13,12.65,1
6.4,7.86,6.32,0.3,2.69,68.69,1
5.96,1.1,9.83,0.53,0.96,0.0,1
7.42,4.44,3.25,1.29,3.37,70.62,0
9.49,3.06,2.78,2.86,4.05,57.57,0
9.05,5.19,4.12,2.52,3.76,79.51,0
7.64,3.69,1.01,2.89,2.75,88.97,0
7.6,5.51,3.61,2.91,3.11,91.16,0
6.73,2.88,1.58,1.05,0.88,61.65,0
9.27,3.03,4.0,2.01,0.75,72.23,0
6.18,1.01,2.57,2.8,1.24,36.47,0
4.94,1.94,8.91,0.44,0.09,0.0,2
9.18,3.26,2.15,2.95,3.38,63.04,0
8.51,6.98,4.46,0.97,3.58,91.55,0
9.7,5.69,3.65,1.47,3.07,86.45,0
8.75,5.85,1.08,1.71,3.17,83.26,0
6.48,5.74,5.27,1.59,0.34,64.09,1
9.46,5.48,6.01,0.17,2.99,56.01,1
8.25,0.47,7.4,0.86,3.26,22.21,1
5.36,4.4,8.52,1.82,0.34,31.27,2
5.87,6.42,6.53,0.03,3.04,54.16,1
8.61,0.59,3.73,1.26,0.9,35.18,0
4.43,1.13,7.02,0.79,3.56,0.0,2
7.38,3.91,8.17,2.35,1.88,43.07,1
4.49,4.35,2.64,2.65,2.22,51.76,1
6.16,2.89,2.83,2.74,4.0,49.9,0
8.48,4.19,1.14,1.59,0.65,82.51,0
8.18,2.57,9.03,1.97,4.16,30.59,1
9.21,3.62,5.94,1.55,4.52,55.7,1
7.47,7.54,4.33,2.6,1.87,100.0,0
7.5,4.21,1.14,0.21,0.98,72.71,0
9.35,5.46,1.95,1.6,4.28,95.05,0
4.74,9.01,8.69,0.16,4.12,41.14,2
4.38,7.59,5.83,1.24,4.52,34.76,2
4.35,6.16,7.95,1.65,4.92,21.37,2
4.62,1.98,8.44,2.99,0.49,6.34,2
8.58,0.64,1.62,2.67,4.0,50.04,0
7.9,3.23,9.16,0.9,1.38,38.0,1
8.08,8.96,2.4,2.86,3.06,100.0,0
9.48,3.81,7.48,1.92,3.94,53.23,1
8.08,0.68,2.65,2.86,4.84,56.1,0
4.22,3.82,7.84,2.26,0.43,38.79,2
4.86,4.93,3.16,0.16,0.4,42.09,2
8.47,9.32,5.23,1.24,1.79,93.85,1
6.11,7.46,8.21,2.63,1.21,73.86,1
5.34,0.38,7.37,1.65,3.62,7.71,1
9.97,9.94,5.18,2.6,1.22,100.0,1
9.28,8.15,8.31,1.39,4.1,74.62,1
4.79,1.14,7.95,1.88,2.6,0.0,2
7.96,3.96,4.73,1.82,3.8,66.09,0
7.05,7.27,7.35,2.49,0.31,86.54,1
7.08,0.75,7.11,2.15,2.62,30.23,1
5.8,2.02,4.16,1.23,3.48,22.0,0
8.33,1.74,4.3,0.48,3.43,55.03,0
7.15,7.92,7.04,0.9,1.66,82.74,1
7.3,0.96,8.87,1.54,2.37,25.42,1
6.26,3.33,3.44,1.7,2.31,50.95,0
9.65,2.19,1.9,2.36,4.97,51.82,0
4.14,2.51,1.39,2.46,2.91,33.28,1
7.33,2.52,6.41,0.09,3.23,21.29,1
8.04,3.32,8.44,2.15,0.64,62.21,1
7.82,2.89,2.07,0.46,0.83,50.63,0
7.64,1.76,7.41,0.84,1.56,36.27,1
8.71,9.6,5.43,0.13,1.3,99.48,1
9.06,0.85,9.7,1.77,2.59,12.76,1
4.17,7.77,2.05,2.52,2.65,68.47,1
9.0,0.27,2.25,2.39,2.32,47.18,0
7.81,6.24,3.63,0.4,4.81,92.99,1
7.17,2.73,3.38,1.78,3.99,52.94,0
9.21,2.93,5.19,0.03,3.73,45.18,1
7.37,1.69,8.37,2.45,4.39,27.73,1
9.95,2.48,3.78,0.75,1.34,57.71,0
5.44,3.94,6.9,2.51,3.46,47.04,1
4.89,8.16,1.34,0.79,0.29,59.49,2
6.21,6.52,4.12,1.37,2.29,67.45,0
6.58,6.41,5.91,0.23,3.34,53.9,1
4.09,1.56,5.48,0.93,3.47,15.31,1
8.64,2.86,6.59,2.4,1.93,44.6,0
7.21,9.95,9.72,0.66,3.78,71.25,1
4.96,6.66,5.51,1.62,4.14,50.61,1
8.0,3.66,1.38,1.13,4.75,76.59,0
4.65,6.88,9.67,2.72,2.86,38.07,2
7.48,8.16,8.75,2.46,2.28,89.25,1
4.37,4.99,6.9,2.56,3.91,43.8,1
8.56,7.03,1.09,1.88,0.6,100.0,0
4.94,8.23,7.69,2.85,4.89,42.53,2
4.8,8.78,8.55,2.61,0.76,66.05,2
9.54,1.74,4.32,1.37,0.62,49.55,0
9.96,8.77,9.21,0.85,1.1,89.07,1
6.72,0.06,8.01,2.99,2.64,21.51,1
6.36,0.96,3.4,1.51,2.16,35.62,0
9.09,2.25,1.25,0.11,0.67,61.54,0
8.85,8.87,6.72,1.21,0.77,92.34,1
5.99,8.7,5.38,0.68,1.44,68.51,1
9.51,0.5,1.12,0.55,4.05,40.6,0
7.76,3.58,1.62,2.57,0.96,84.13,0
7.44,0.83,1.86,2.4,2.46,62.46,0
6.09,7.29,1.6,0.35,3.08,62.43,0
9.83,3.75,1.59,1.61,3.19,77.0,0
7.32,1.98,8.6,2.51,2.15,26.91,1
9.88,1.29,4.31,1.8,0.42,51.86,0
5.57,9.52,4.7,2.29,1.93,84.69,1
9.18,0.0,1.5,1.09,3.43,29.79,0
4.4,3.18,3.2,0.02,2.67,0.0,1
5.72,6.41,7.53,0.79,1.65,36.4,1
9.74,1.91,2.65,1.34,0.95,61.04,0
4.58,6.4,6.51,1.95,3.87,46.07,1
9.51,7.33,8.24,2.16,1.79,81.31,1
6.54,0.97,5.06,0.13,0.02,22.86,1
8.14,5.62,4.07,1.71,4.46,78.03,0
7.61,4.6,4.11,2.1,4.9,72.7,0
6.35,4.28,4.83,2.97,3.53,68.8,0
6.23,4.31,1.33,1.58,4.06,65.48,0
5.19,7.28,7.48,0.79,3.11,43.38,1
9.04,1.36,2.75,1.46,0.22,52.26,0
8.73,1.49,5.14,2.97,2.53,52.25,0
4.88,6.77,4.56,0.87,0.16,47.17,1
4.19,7.5,4.44,1.8,1.24,61.99,1
7.2,6.96,2.76,1.31,2.22,82.7,0
7.39,1.46,5.59,0.34,2.43,25.2,1
6.71,4.34,9.17,1.47,4.09,32.51,1
6.11,0.75,4.79,2.01,4.19,16.28,0
7.84,1.77,1.33,2.38,0.84,75.74,0
9.63,9.64,6.55,1.14,4.17,92.55,1
6.58,3.57,9.21,2.76,3.25,59.75,1
6.89,2.45,8.96,0.42,0.27,23.27,2
6.72,8.38,1.67,2.4,0.19,100.0,1
6.77,2.21,6.34,0.08,0.18,24.12,1
5.26,6.56,7.75,0.18,3.85,40.2,2
6.34,0.87,8.55,1.68,2.52,2.06,1
6.01,8.91,7.48,2.79,4.54,92.76,2
4.79,7.96,8.24,1.93,1.39,37.06,2
5.23,5.0,5.69,0.49,3.61,30.75,1
8.16,8.49,4.14,2.13,0.78,100.0,0
9.71,1.53,7.23,1.52,2.66,46.96,1
6.93,6.0,3.08,1.14,4.33,85.82,0
7.59,1.84,8.62,1.74,2.02,27.21,1
7.06,4.69,7.72,1.14,2.14,38.93,1
4.91,7.14,8.86,2.72,4.4,53.7,2
5.7,6.38,9.59,2.18,2.47,53.05,1
8.64,9.19,7.87,1.3,1.37,85.06,1
7.05,4.72,4.13,1.92,2.6,70.34,0
9.22,3.59,4.89,0.62,2.77,49.01,0
9.84,7.04,3.56,0.61,1.48,91.93,0
5.75,4.63,7.35,2.62,3.29,45.61,1
5.04,8.77,3.48,0.39,4.88,59.37,2
4.82,6.26,3.87,0.4,3.01,42.0,1
8.76,1.56,6.01,2.44,0.81,53.18,0
4.01,5.25,2.75,2.17,4.81,36.48,1
7.89,2.12,1.16,2.28,2.17,76.14,0
7.21,1.57,5.05,0.61,4.39,23.51,0
6.05,5.28,7.03,2.35,0.4,58.01,1
4.69,3.95,5.2,0.41,2.06,23.19,2
4.65,9.17,6.39,1.17,2.53,56.17,2
9.13,5.75,5.45,2.73,4.19,82.19,0
5.35,1.53,7.21,1.41,3.42,12.29,1
5.77,2.85,5.42,0.82,3.34,20.2,1
6.83,7.24,5.59,2.14,1.12,99.27,0
8.29,2.67,6.0,2.57,1.25,48.34,0
9.72,8.66,4.61,1.82,4.96,100.0,1
